timestamp,service_name,host,avg_ms,min_ms,max_ms,success,error
2026-05-14 17:53:59,Сбербанк Онлайн,online.sberbank.ru,247.06,237.79,256.33,True,
2026-05-14 17:53:59,Т-Банк,www.tinkoff.ru,686.62,612.17,779.35,True,
2026-05-14 17:53:59,Альфа-Банк,alfabank.ru,890.38,89.18,2296.76,True,
2026-05-14 17:53:59,ВТБ Онлайн,www.vtb.ru,1015.55,803.61,1140.49,True,
2026-05-14 17:53:59,Газпромбанк,www.gazprombank.ru,372.07,278.49,542.31,True,
2026-05-14 17:53:59,Почта Mail.ru,mail.ru,250.85,226.03,281.40,True,
2026-05-14 17:53:59,Почта Рамблер,mail.rambler.ru,152.65,69.42,302.76,True,
2026-05-14 17:53:59,Яндекс.Почта,mail.yandex.ru,351.29,284.55,476.46,True,
2026-05-14 17:53:59,VK Почта,mail.vk.com,185.05,111.02,254.57,True,
2026-05-14 17:53:59,Яндекс.Диск,disk.yandex.ru,421.95,281.75,700.54,True,
2026-05-14 17:53:59,Облако Mail.ru,cloud.mail.ru,635.89,330.94,1033.33,True,
2026-05-14 17:53:59,СберДиск,sberbank.ru,138.78,68.08,254.80,True,
2026-05-14 17:53:59,VK Облако,cloud.vk.com,642.61,207.24,1476.95,True,
2026-05-14 17:53:59,Мессенджер Макс,web.max.ru,853.55,58.48,2247.04,True,
2026-05-14 17:53:59,VK Мессенджер,vk.com,525.55,426.02,692.02,True,
2026-05-14 17:53:59,ICQ New,icq.com,82.95,75.72,92.40,True,
2026-05-14 17:53:59,Яндекс.Музыка,music.yandex.ru,450.18,355.74,628.32,True,
2026-05-14 17:53:59,VK Музыка,vk.com,715.73,643.26,802.59,True,
2026-05-14 17:53:59,RuTube,rutube.ru,372.06,293.96,485.37,True,
2026-05-14 17:53:59,VK Видео,vk.com,403.15,329.28,535.24,True,
2026-05-14 17:53:59,Яндекс.Дзен,dzen.ru,569.54,236.68,810.32,True,
2026-05-14 17:53:59,GigaChat,developers.sber.ru,227.40,173.79,281.00,True,
2026-05-14 17:53:59,Алиса,alice.yandex.ru,285.09,185.72,466.61,True,
2026-05-14 17:53:59,Qwen AI,chat.qwen.ai,553.99,443.87,765.66,True,
2026-05-14 17:53:59,DeepSeek,chat.deepseek.com,185.10,100.00,293.57,True,
2026-05-14 17:53:59,YandexGPT,cloud.yandex.ru,113.55,96.38,143.69,True,
